table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,9,1,Lỗ khác,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,9,2,Lỗ khác,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,9,3,Lỗ khác,Khác | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,9,4,Lỗ khác,Loại trừ | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,9,5,Lỗ khác,VND Tổng cộng | Năm nay,(401.282.411.813),-401282411813.0,-401282411813.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,10,0,Lợi nhuận kế toán trước thuế,Năm nay | Doanh thu,Lợi nhuận kế toán trước thuế,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,10,1,Lợi nhuận kế toán trước thuế,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,10,2,Lợi nhuận kế toán trước thuế,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,10,3,Lợi nhuận kế toán trước thuế,Khác | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,10,4,Lợi nhuận kế toán trước thuế,Loại trừ | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,10,5,Lợi nhuận kế toán trước thuế,VND Tổng cộng | Năm nay,4.825.763.013.078,4825763013078.0,4825763013078.0,False,False
