table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,7,1,8,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tên công ty","Công ty TNHH MTV Đầu tư Quốc tế Hà Đô (""Công ty Quốc tế Hà Đô"")",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,7,2,8,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ lợi ích(%)",100%,100.0,100.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,7,3,8,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ biểu quyết (%)",100%,100.0,100.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,7,4,8,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Trụ sở chính","Số 272, đường Dondeng, bản Nongtha Tayhuyện Chanthabuly, thủ đô Viếng Chăn, Lào",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,7,5,8,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Hoạt động chính",Đầu tư và kinh doanh bất động sản,,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,8,0,9,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | STT",9,9.0,9.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,8,1,9,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tên công ty","Công ty TNHH MTV Quản lý - Vận hành - Khai thác Bất động sản Hà Đô (""Công ty Bất động sản Hà Đô"")",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,8,2,9,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ lợi ích(%)",100%,100.0,100.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,8,3,9,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ biểu quyết (%)",100%,100.0,100.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,8,4,9,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Trụ sở chính","Số 60M Trường Sơn, phường 2, quận Tân Bình, thành phố Hồ Chí Minh",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,8,5,9,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Hoạt động chính","Tư vấn, quản lý bất động sản",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,9,0,10,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | STT",10,10.0,10.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,9,1,10,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tên công ty","Công ty Cổ phần Đầu tư Bất động sản Bình An Riverside (""Công ty Bình An Riverside"")",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,9,2,10,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ lợi ích(%)","99,00%",99.0,99.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,9,3,10,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ biểu quyết (%)","99,00%",99.0,99.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,9,4,10,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Trụ sở chính","Số 2735 Phạm Thế Hiển, phường 7, quận 8,thành phố Hồ Chí Minh",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,9,5,10,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Hoạt động chính",Đầu tư và kinh doanh bất động sản,,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,10,0,11,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | STT",11,11.0,11.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,10,1,11,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tên công ty","Công ty Cổ phần Thiết bị Giáo dục 1 (""Công ty Thiết bị Giáo dục 1"")",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,10,2,11,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ lợi ích(%)","98,38%",98.38,98.38,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,10,3,11,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ biểu quyết (%)","98,68%",98.68,98.68,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,10,4,11,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Trụ sở chính","Số 62 Phan Đình Giốt, phường Phương Liệt,quận Thanh Xuân, Hà Nội",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,10,5,11,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Hoạt động chính",Đầu tư và kinh doanh bất động sản,,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,11,0,12,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | STT",12,12.0,12.0,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,11,1,12,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tên công ty","Công ty Cổ phần Năng lượng Agrita – Quảng Nam (""Công ty Agrita – Quảng Nam"") (i)",,,False,False
HDG_financial_statements_2021_separate|table_12,HDG_financial_statements_2021_separate,HDG,2021,separate,PERCENT,11,2,12,"Tại ngày 31 tháng 12 năm 2020, Công ty có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ lợi ích, tỷ lệ biểu quyết của Công ty trong các công ty con này như sau: | Tỷ lệ lợi ích(%)","97,57%",97.57,97.57,False,False
